"Timepoint","Study","Panel","pillai","approx_f","num_df","den_df","p","n","mats"
"Pre","Winners","Blind_HighVsLowPD",0.180967489658092,2.99513734660622,9,122,0.00293048937547428,132,47.185
"Pre","Winners","Sighted_HighVsLowPD",0.191700783256927,3.71559468178951,9,141,0.000328663043091603,151,42.784
"Pre","Winners","HighPD_SightedVsBlind",0.228036478081269,4.3981479543576,9,134,4.74069698562131e-05,144,20.715
"Pre","Winners","LowPD_SightedVsBlind",0.182993630006756,3.21038953072689,9,129,0.00153098586379549,139,23.643
"Pre","Losers","Blind_HighVsLowPD",0.129438907804918,2.06506197499439,9,125,0.03752585983025,135,18.449
"Pre","Losers","Sighted_HighVsLowPD",0.235277173441058,4.71750443533826,9,138,1.79488423328826e-05,148,50.531
"Pre","Losers","HighPD_SightedVsBlind",0.125438369122918,2.45424655722232,9,154,0.012204496698368,164,14.737
"Pre","Losers","LowPD_SightedVsBlind",0.199779546603468,3.02360715271926,9,109,0.0029143929443672,119,17.358
"Mid","Winners","Blind_HighVsLowPD",0.109671372219508,1.09494024064059,9,80,0.37604538499592,90,20.299
"Mid","Winners","Sighted_HighVsLowPD",0.0836116545228839,1.01378240805093,9,100,0.434309347832376,110,6.523
"Mid","Winners","HighPD_SightedVsBlind",0.240574433333289,3.37903726385158,9,96,0.00122355024340368,106,19.764
"Mid","Winners","LowPD_SightedVsBlind",0.289359887810346,3.80036567019615,9,84,0.000466620292760371,94,38.974
"Mid","Losers","Blind_HighVsLowPD",0.146446885892141,1.25820386818949,9,66,0.276358905132687,76,20.243
"Mid","Losers","Sighted_HighVsLowPD",0.11644391524136,1.52290743608597,9,104,0.149478345933415,114,13.684
"Mid","Losers","HighPD_SightedVsBlind",0.134759641697289,1.83436787026102,9,106,0.0703087983223267,116,20.381
"Mid","Losers","LowPD_SightedVsBlind",0.255501338925894,2.44043207212543,9,64,0.0186926921069722,74,36.357
"Result","Winners","Blind_HighVsLowPD",0.232744127348785,2.46047445796843,9,73,0.0165108102334844,83,29.631
"Result","Winners","Sighted_HighVsLowPD",0.150851716669373,1.59885555523844,9,81,0.129486764178997,91,3.7
"Result","Winners","HighPD_SightedVsBlind",0.526779992726966,10.6370724159881,9,86,6.50952185123821e-11,96,86.924
"Result","Winners","LowPD_SightedVsBlind",0.223893358307397,2.17964724992195,9,68,0.0341135164730375,78,30.363
"Result","Losers","Blind_HighVsLowPD",0.274436463114151,1.93322181257498,9,46,0.0705367045515893,56,11.416
"Result","Losers","Sighted_HighVsLowPD",0.294404746937903,2.82798097465716,9,61,0.0075863801086386,71,40.645
"Result","Losers","HighPD_SightedVsBlind",0.171778762141174,1.40575757239044,9,61,0.205701330266528,71,14.866
"Result","Losers","LowPD_SightedVsBlind",0.229844746586643,1.52535743008039,9,46,0.167612376963782,56,30.707
"Post","Winners","Blind_HighVsLowPD",0.0778552516496323,0.975617642825049,9,104,0.464570465058372,114,15.87
"Post","Winners","Sighted_HighVsLowPD",0.235943664197007,4.59774866806725,9,134,2.65817646057037e-05,144,91.435
"Post","Winners","HighPD_SightedVsBlind",0.381999443207889,8.65370127281206,9,126,4.94115560271749e-10,136,27.847
"Post","Winners","LowPD_SightedVsBlind",0.267851282509171,4.55270947681518,9,112,4.00922316551817e-05,122,49.373
"Post","Losers","Blind_HighVsLowPD",0.167489852489721,1.45301404224992,9,65,0.184632420743947,75,12.745
"Post","Losers","Sighted_HighVsLowPD",0.273727405637557,3.4757954281862,9,83,0.00110220223600533,93,85.075
"Post","Losers","HighPD_SightedVsBlind",0.200669421859961,2.42678619380067,9,87,0.0164438839738795,97,16.732
"Post","Losers","LowPD_SightedVsBlind",0.196015399378241,1.65245555322907,9,61,0.120643390849007,71,30.83
